Timestamp,Email,Message

2025-12-08T22:07:59.399Z,aa,f@gmail.com,99999999,asd,Roofing,0-100,dont know
2025-12-08T22:09:53.891Z,jj,kkk@gg.com,99999,nkin,HVAC,"500-1,500",jijinkn kjnkkb
2025-12-08T22:13:50.808Z,jkn k,dd@gmail.com,9999999,aswsss,HVAC,0-100,sssdsd
2025-12-08T22:27:01.977Z,aac,aa@gmail.com,2222222,asdssad,HVAC,0-100,afaa
2025-12-08T22:28:21.067Z,sdas,a@gmail.com,322222,acdcw,Plumbing,0-100,dawwceca
2025-12-08T22:34:31.730Z,sds,dd@gmail.com,5555,ass,Roofing,0-100,dfafeesf
2025-12-08T23:24:56.275Z,edads,as@gmail.com,929292929,dada,Roofing,0-100,wDWDFEFVEWVW
2025-12-08T23:27:12.172Z,affa,ssdff@gmail.com,222222,gfsr,Roofing,0-100,cwrefgw4wg
2025-12-08T23:28:59.511Z,Anas,anas@gmail.com,2222222,cdaae,Roofing,100-500,dfweffgfwfew
2025-12-08T23:35:33.179Z,dfa,asfaf@gmail.com,3223432,vsdsdv,Moving,0-100,dfaswvsws
2025-12-08T23:37:26.657Z,ref,A@gmail.com,33232332,asa,Roofing,0-100,sdaefwevvw
2026-01-16T23:39:38.709Z,Anas,anas@gmail.com,8383399292,sas,Restaurant,500-1000,hi
